,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
15,2021-08-10 01:40:22.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127509,HAAKE BECK NA MALT BEVERAGE 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
16,2021-08-10 01:40:22.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127004,HAAKE BECK NA MALT BEVERAGE 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
21,2021-08-10 01:47:30.000000,00082000786344,00082000786337,SI SMSH STR LM C12 23.5OZ,00082000786337,SMIRNOFF ICE SMASH STRAWBERRY PLUS LEMON MALT BEVERAGE 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
40,2021-08-10 01:28:57.000000,022100001572,00086003000490,750    WOODBRIDGE NV MERLOT,00022100001572,PABST BLUE RIBBON BEER 18 CT 12 OZ CAN IN BOX 216 OZ,NEED TO INSPECT
103,2021-08-10 01:02:24.000000,00018200961182,00018200189937,PLAT          4/6 NR,00018200189937,BUD LIGHT PLATINUM LAGER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
104,2021-08-10 01:02:24.000000,00018200961182,00018200189937,PLAT          4/6 NR,00018200961182,BUD LIGHT PLATINUM LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
148,2021-08-10 01:12:21.000000,818094005777,197779,16OZ CN RKSTR ENRG 1/12,10818094005774,ROCKSTAR ENERGY DRINK ORIGINAL 1/12/16OZ CAN,NEED TO INSPECT
152,2021-08-10 01:16:48.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752134,TWISTED TEA TRAY 24OZ CAN TWISTED TEA HALF & HALF,NEED TO INSPECT
153,2021-08-10 01:16:48.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
225,2021-08-10 01:38:03.000000,818094005777,197779,16OZ CN RKSTR ENRG 1/12,10818094005774,ROCKSTAR ENERGY DRINK ORIGINAL 1/12/16OZ CAN,NEED TO INSPECT
259,2021-08-10 01:00:59.000000,635985260899,635985260899,MIKES WHT CLAW BLKCHRY 2/12C,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
401,2021-08-10 01:45:44.000000,00090478230672,00090478410616,JARRITOS B 24/12.5 MINE,00090478410616,MINERAGUA 12.5 OZ GLASS BOTTLE,NEED TO INSPECT
435,2021-08-10 01:34:44.000000,034100015091,034100015091,MHL 2/12 LNNR 24/12,00034100015091,MILLER HIGH LIFE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
454,2021-08-10 01:05:01.000000,00704361150243,00704361150243,GL IPA 4/6 PK CAN,00704361150243,GREAT LAKES IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
468,2021-08-10 01:26:23.000000,00085000031056,00085000431054,G.BRFT SLTZR PEACH-NCTR 6/4,00085000031056,BAREFOOT HS P&N FRUIT VRTL WN 187 ML,NEED TO INSPECT
593,2021-08-10 01:31:07.000000,00078000152104,00078000152104,C DRY CUBE C 24/12 GINGER,00078000152104,CANADA DRY GINGER ALE SODA 24/12OZ CAN,NEED TO INSPECT
632,2021-08-10 01:29:33.000000,00016571953393,00016571953393,TR ICE P12PACK 17PINK VARIETY,00016571953393,SPARKLING ICE VARIETY PINK PACK 12/17OZ PLASTIC BOTTLES,NEED TO INSPECT
647,2021-08-10 01:17:43.000000,00857100005028,00857100005011,3D BIMINI TWST 4/6/12 CAN,00857100005028,BEACH BLONDE ALE 6 PACK CRAFT BEER,NEED TO INSPECT
692,2021-08-10 01:30:40.000000,00858187003228,00858187003082,BOOZY T VARITY C24 12OZ 6P,00858187003228,OWL'S BREW RADLER DO NOT USE 6PK VARIETY MASTER CASE - BOOZY TEA,NEED TO INSPECT
709,2021-08-10 01:16:47.000000,00087692751342,00087692751342,TT 1/2 N 1/2 CAN 2/12/12,00087692751342,TWISTED TEA WRAP 12X12OZ CANS TWISTED TEA HALF & HALF,NEED TO INSPECT
751,2021-08-10 01:47:09.000000,03410008722,03410008722,2/12/12NR REDD'S HARD APPLE,00034100087227,REDDS APPLE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
838,2021-08-10 01:00:17.000000,08200079257,08200079257,2/12/12CN SMIRNOFF SPIKED SELTZER SEASONAL VARIETY,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
860,2021-08-10 01:22:02.000000,087692006619,786150001493,STELLA ARTOIS LAGER 18/11.2Z NR,00087692006619,ANGRY ORCHARD CARTON 4X6PK MOTHER ANGRY ORCHARD ROSE,NEED TO INSPECT
862,2021-08-10 01:09:35.000000,00635985257257,00635985060741,MIKE TANGERINE 6PK BT,00635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
863,2021-08-10 01:09:35.000000,00635985257257,00635985060741,MIKE TANGERINE 6PK BT,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
888,2021-08-10 01:17:52.000000,022100001572,00086003461925,"750    MOND PRIV SEL 19 CHARDONNAY,",00022100001572,PABST BLUE RIBBON BEER 18 CT 12 OZ CAN IN BOX 216 OZ,NEED TO INSPECT
1031,2021-08-10 01:09:08.000000,071990000486,00081753801809,750    SKYSIDE 18 CHARDONNAY NORTH C,00071990000486,COORS LIGHT BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
1113,2021-08-10 01:42:32.000000,034100570224,034100570231,LITE ALUM 2/9PK,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
1114,2021-08-10 01:42:32.000000,034100570224,034100570231,LITE ALUM 2/9PK,00034100570224,MILLER LITE BEER 18 CT 16 OZ ALUMINUM BOTTL IN BX 288 OZ,NEED TO INSPECT
