,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_FTS_ID,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
23,17420,17420,2021-08-10 01:51:16.000000,034100570118,034100575052,LITE 24/12OZ 4/6 NR,00034100575052,MILLER LITE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
103,6213194,5942,2021-08-10 01:45:32.000000,00857845003044,00857845003044,STA STOUT@THE DEVIL 4/6/12 CANS,00857845003044,LILY FLAGG MILK STOUT 6 PACK,NEED TO INSPECT
188,14998,14998,2021-08-10 01:28:38.000000,00016571953393,00016571953393,TR ICE P12PACK 17PINK VARIETY,00016571953393,SPARKLING ICE VARIETY PINK PACK 12/17OZ PLASTIC BOTTLES,NEED TO INSPECT
273,1247,1247,2021-08-10 01:30:59.000000,072890100252,00072890000316,HEINEKEN 24 LS BT,00072890100252,AMSTEL LIGHT BEER 24 CT 12 OZ GLASS BOTTLE IN BOX 288 OZ,NEED TO INSPECT
277,15982,15982,2021-08-10 01:23:59.000000,072890000842,007289000083,HEIN 6/4/16 TT,00072890000842,HEINEKEN BEER 1 CT 16 OZ CAN IN BOX 16 OZ,NEED TO INSPECT
380,1247,1247,2021-08-10 01:18:08.000000,00071990095338,00071990095321,BM ICED COFFEE 6PK BT,00071990095321,BLUE MOON SEASONAL COLLECTION BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
381,1247,1247,2021-08-10 01:18:08.000000,00071990095338,00071990095321,BM ICED COFFEE 6PK BT,00071990095338,BLUE MOON SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
472,467,467,2021-08-10 01:10:36.000000,072890000163,072890000163,2/12/12NR HEINEKEN,00072890000163,HEINEKEN BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
506,1247,1247,2021-08-10 01:41:57.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985060741,MIKES HARD SEASONAL MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
507,1247,1247,2021-08-10 01:41:57.000000,00635985257257,00635985060741,MIK POMEG BLUE 6PK BT,00635985257257,MIKES HARD SEASONAL MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
586,8260,8260,2021-08-10 01:46:13.000000,00085200104482,00085200104482,24/187 SUTTER HOME ROSE           RO,00085200104482,SUTTER HOME CALIFORNIA ROSE 6/4/187ML PLASTIC BOTTLES PET,NEED TO INSPECT
625,467,467,2021-08-10 01:42:30.000000,072890000163,072890000163,2/12/12NR HEINEKEN,00072890000163,HEINEKEN BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
645,10000,10000,2021-08-10 01:50:58.000000,00635985260479,00635985260448,WC HRD RUBY GF C12 19.2OZ,00635985260448,WHITE CLAW HARD SELTZER RUBY GRAPEFRUIT MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
646,30260,30260,2021-08-10 01:56:01.000000,852587005080,852587005080,JACK BEARWALK 4/6/12 CAN,00852587005080,BEARWALKER MAPLE BROWN ALE,NEED TO INSPECT
647,20,20,2021-08-10 01:44:40.000000,00070310700570,00080432802656,SEAG WLDBERRY 24/11.2OZ NR,00080432802656,SEAGRAMS ESCAPES WILD BERRIES MALT BEVERAGE 1 CT 11 OZ LONG NECK BOTTLE 11.2 OZ,NEED TO INSPECT
